"Domain,IP,User Name,Email,Start Date,Disk Partition,Quota,Disk Space Used,Package,Theme,Owner,Server,Unix Startdate,Disk Space Used (bytes),Quota (bytes)"
"kwandege.co.ke,199.188.204.186,kwandege,info@kwandege.co.ke,14 Mar 28 00:23,home,1000,14,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1395980603,14968,1024000"
"lakebogoriasparesort.com,199.188.204.187,lakebogo,info@lakebogoriasparesort.com,13 Feb 25 08:00,home,7000,2435,undefined,x3,bluecosp,host14.registrar-servers.com,1361797216,2494008,7168000"
"ldmag.co.ke,199.188.204.186,ldmagco,info@ldmag.co.ke,13 Aug 30 10:03,home,5000,371,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1377871387,380546,5120000"
"liveonline.co.ke,199.188.200.187,online,adams@bluewebsafrica.co.ke,11 Dec 07 04:53,home,1000,519,infokens_Bronze Hosting UNBRANDED,x3,bluecosp,host14.registrar-servers.com,1323251602,531652,1024000"
"loansystem.org,199.188.204.187,loansyst,info@loansystem.org,13 Mar 16 07:57,home,1000,705,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1363435050,722728,1024000"
"malabakeyaconsultants.com,199.188.204.188,malabake,info@malabakeyaconsultants.com,14 Jan 29 08:55,home,5000,2145,undefined,x3,bluecosp,host14.registrar-servers.com,1391003743,2197400,5120000"
"martintailors-hongkong.com,199.188.204.187,martintailorshon,info@martintailors-hongkong.com,15 Feb 27 11:05,home,1000,63,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1425053121,64724,1024000"
"masaimaracamp.co.ke,199.188.200.187,mas,info@masaimaracamp.co.ke,14 Dec 20 05:02,home,1000,35,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1419069773,36424,1024000"
"masaimaracamp.com,199.188.200.187,masaimar,info@masaimaracamp.com,13 Aug 26 09:18,home,1000,36,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1377523086,36932,1024000"
"maziwasacco.org,199.188.200.187,maziwasa,info@maziwasacco.org,13 May 11 03:41,home,1000,27,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1368258112,28364,1024000"
"mfarijiafrika.com,199.188.204.187,mfarijia,info@mfarijiafrika.com,12 Dec 20 08:47,home,1000,357,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1356011276,365596,1024000"
"moest-ss.com,199.188.204.187,moestss,info@moest-ss.com,15 Mar 13 13:45,home,1000,178,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1426268745,182556,1024000"
"monacosecuritygroup.co.ke,199.188.200.187,monacosecuritygr,info@monacosecuritygroup.co.ke,14 Nov 27 09:43,home,1000,143,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1417099423,146460,1024000"
"mya1city.com,199.188.200.187,mya1city,info@mya1city.com,13 Aug 27 07:09,home,6200,123,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1377601765,126236,6348800"
"nextdoor.co.ke,199.188.204.187,nextdoor,info@nextdoor.co.ke,14 Jan 22 10:55,home,1000,52,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1390406119,54004,1024000"
"olowuaru.co.ke,199.188.204.188,olowuaru,info@olowuaru.co.ke,14 Apr 28 23:56,home,1000,32,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1398743789,32932,1024000"
"onenaijashop.com,199.188.200.187,onenaija,info@onenaijashop.com,13 Dec 17 08:55,home,1000,,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1387288525,264,1024000"
"onesureshop.com,199.188.200.187,onesures,info@onesureshop.com,13 Dec 17 08:51,home,1000,,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1387288297,264,1024000"
"pastorjaredforjoyvalley.org,199.188.204.186,pastorja,info@pastorjaredforjoyvalley.org,14 Feb 19 08:41,home,1000,319,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1392817291,327120,1024000"
"peecees.co.ke,199.188.200.187,peeceesc,info@peecees.co.ke,13 Jul 22 08:52,home,1000,356,bluecosp_Blue Basic_peeceesc,x3,bluecosp,host14.registrar-servers.com,1374497553,364878,1024000"
"pentakenyaltd.co.ke,199.188.204.187,pentakenyaltdco,info@pentakenyaltd.co.ke,15 Jan 23 04:33,home,1000,449,bluecosp_Blue Basic_pentakenyaltdco,x3,bluecosp,host14.registrar-servers.com,1422005583,460563,1024000"
"prideofeastafrica.co.ke,199.188.200.187,prideofe,info@prideofeastafrica.co.ke,14 May 29 01:58,home,1000,199,bluecosp_Blue Basic_prideofe,x3,bluecosp,host14.registrar-servers.com,1401343092,204648,1024000"
"princesshopefoundation.org,199.188.204.188,princess,info@princesshopefoundation.org,13 Jan 24 09:06,home,1000,27,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1359036387,27924,1024000"
"sakaja.co.ke,199.188.204.187,sakajaco,info@sakaja.co.ke,14 Jan 22 10:21,home,1000,123,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1390404114,126604,1024000"
"sealkenya.co.ke,199.188.204.187,sealkeny,,13 Feb 04 06:35,home,1000,10,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1359977749,10388,1024000"
"secretingredients.co.ke,199.188.204.187,secretingredient,info@secretingredients.co.ke,15 Mar 20 06:42,home,1000,,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1426848128,556,1024000"
"shileliproperties.co.ke,199.188.204.187,shilelip,info@shileliproperties.co.ke,14 Jan 19 03:08,home,3000,2075,bluecosp_Blue Basic_shilelip,x3,bluecosp,host14.registrar-servers.com,1390118897,2125272,3072000"
"shokol-online.com,199.188.204.186,shokolon,info@shokol-online.com,13 Oct 31 05:39,home,1000,14,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1383212393,14440,1024000"
"shop1zone.com,199.188.200.187,shop1zon,info@shop1zone.com,13 Dec 17 08:53,home,1000,,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1387288386,264,1024000"
"sidaibrides.co.ke,199.188.204.187,sidaibridesco,info@sidaibrides.co.ke,15 Jan 29 05:05,home,1000,104,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1422525918,107232,1024000"
"sirhenrys.co.ke,199.188.204.188,sirhenry,info@sirhenrys.co.ke,13 Jan 09 01:22,home,1000,14,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1357712540,15160,1024000"
"smartphoneskenya.com,199.188.204.187,smartpho,info@smartphoneskenya.com,13 Feb 21 03:02,home,1000,40,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1361433736,41954,1024000"
"springsadventuresafaris.com,199.188.204.187,springsa,info@springsadventuresafaris.com,12 Dec 20 08:57,home,5000,888,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1356011872,909649,5120000"
"ssahara.org,199.188.204.188,ssahara,info@ssahara.org,13 Jan 21 01:15,home,1000,24,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1358748926,25588,1024000"
"suddservices.com,199.188.200.187,suddserv,info@suddservices.com,14 May 29 10:02,home,1000,149,bluecosp_Blue Basic_suddserv,x3,bluecosp,host14.registrar-servers.com,1401372153,153126,1024000"
"thegreatspeeches.co.ke,199.188.204.186,thegreat,info@thegreatspeeches.co.ke,13 Oct 31 04:16,home,1000,533,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1383207403,546512,1024000"
"theleadershipcrucible.org,199.188.200.187,theleadershipcru,info@theleadershipcrucible.org,14 Dec 15 04:42,home,1000,42,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1418636545,43028,1024000"
"theramp.co.ke,199.188.204.187,therampc,info@theramp.co.ke,13 Apr 02 11:54,home,1000,18,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1364918098,18892,1024000"
"travellerslinkkenya.com,199.188.204.187,travelle,info@travellerslinkkenya.com,12 Dec 13 03:05,home,1000,5,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1355385908,5468,1024000"
"treasureafricasafaris.com,199.188.200.187,treasure,info@treasureafricasafaris.com,13 Jul 27 06:35,home,1000,71,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1374921344,73280,1024000"
"tuaafrica.org,199.188.204.188,tuaafric,info@tuaafrica.org,13 Jul 04 09:05,home,1000,22,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1372943105,23184,1024000"
"tukullist.com,199.188.204.187,tukullis,info@tukullist.com,14 Jul 24 02:45,home,1000,186,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1406184329,190700,1024000"
"ulayainteriors.co.ke,199.188.200.187,ulayaint,info@ulayainteriors.co.ke,14 Jan 09 00:51,home,2000,942,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1389246676,965144,2048000"
"uraia.or.ke,162.213.248.19,uraiaor,info@uraia.or.ke,13 Jun 13 05:17,home,5000,1442,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1371115079,1476668,5120000"
"voyageafrique.co.ke,199.188.204.186,voyageaf,info@voyageafrique.co.ke,14 Mar 12 09:45,home,1000,621,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1394631914,636088,1024000"
"voyageunicabs.com,199.188.204.186,voyageun,info@voyageunicabs.com,14 Mar 05 10:11,home,1000,1,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1394032284,1092,1024000"
"water-engineering.co.ke,199.188.204.186,watereng,info@water-engineering.co.ke,14 Apr 05 00:56,home,1000,594,bluecosp_Blue Basic_shilelip,x3,bluecosp,host14.registrar-servers.com,1396673809,608716,1024000"
"wiltrueeducationalcentre.ac.ke,199.188.204.187,wiltrueeducation,info@wiltrueeducationalcentre.ac.ke,15 Mar 04 00:21,home,1000,39,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1425446479,40352,1024000"
"womenpluskenya.org,199.188.204.188,womenplu,info@womenpluskenya.org,13 Oct 11 10:15,home,1000,38,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1381500940,39824,1024000"
"worldfreight.co.ke,199.188.200.187,worldfre,info@worldfreight.co.ke,13 Nov 21 01:50,home,1000,121,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1385016606,124008,1024000"
"zubl.co.ke,199.188.204.188,zublco,info@zubl.co.ke,13 Jun 26 07:44,home,6000,2118,bluecosp_Blue Basic_zublco,x3,bluecosp,host14.registrar-servers.com,1372247080,2169555,6144000"
"zubl.co.ug,199.188.204.186,zublug,info@zubl.co.ug,14 Mar 05 01:03,home,5000,1283,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1393999437,1314512,5120000"
"zubl.org,199.188.204.186,zublorg,info@zubl.org,14 Mar 03 06:12,home,5000,138,bluecosp_Blue Basic,x3,bluecosp,host14.registrar-servers.com,1393845170,141428,5120000"
